,DailyTweetAmounts
"Oct 11, 2017",17
"Oct 10, 2017",10
"Oct 9, 2017 ",6
"Oct 8, 2017 ",11
"Oct 7, 2017 ",12
"Oct 5, 2017 ",12
"Oct 4, 2017 ",7
"Oct 3, 2017 ",11
"Oct 2, 2017 ",1
"Oct 1, 2017 ",8
"Sep 30, 2017",26
"Sep 29, 2017",16
"Sep 28, 2017",10
"Sep 27, 2017",9
"Sep 26, 2017",20
"Sep 25, 2017",14
"Sep 24, 2017",10
"Sep 23, 2017",14
"Sep 22, 2017",11
"Sep 21, 2017",6
"Sep 20, 2017",24
"Sep 19, 2017",11
"Sep 18, 2017",8
"Sep 17, 2017",15
"Sep 16, 2017",3
"Sep 15, 2017",13
"Sep 14, 2017",11
"Sep 13, 2017",6
"Sep 12, 2017",5
"Sep 11, 2017",2
"Sep 10, 2017",9
"Sep 9, 2017 ",4
"Sep 8, 2017 ",7
"Sep 7, 2017 ",11
"Sep 6, 2017 ",10
"Sep 5, 2017 ",6
"Sep 4, 2017 ",2
"Sep 3, 2017 ",6
"Sep 2, 2017 ",9
"Sep 1, 2017 ",9
"Aug 31, 2017",2
"Aug 30, 2017",8
"Aug 29, 2017",6
"Aug 28, 2017",4
"Aug 27, 2017",11
"Aug 26, 2017",8
"Aug 25, 2017",16
"Aug 24, 2017",16
"Aug 23, 2017",10
"Aug 22, 2017",5
"Aug 21, 2017",6
"Aug 20, 2017",2
"Aug 19, 2017",8
"Aug 18, 2017",10
"Aug 17, 2017",10
"Aug 16, 2017",17
"Aug 15, 2017",7
"Aug 14, 2017",12
"Aug 13, 2017",4
"Aug 12, 2017",8
"Aug 11, 2017",9
"Aug 10, 2017",6
"Aug 9, 2017 ",13
"Aug 8, 2017 ",9
"Aug 7, 2017 ",14
"Aug 6, 2017 ",4
"Aug 5, 2017 ",9
"Aug 4, 2017 ",15
"Aug 3, 2017 ",10
"Aug 2, 2017 ",5
"Aug 1, 2017 ",3
"Jul 31, 2017",4
"Jul 30, 2017",1
"Jul 29, 2017",13
"Jul 28, 2017",9
"Jul 27, 2017",10
"Jul 26, 2017",11
"Jul 25, 2017",17
"Jul 24, 2017",11
"Jul 23, 2017",6
"Jul 22, 2017",14
"Jul 21, 2017",7
"Jul 20, 2017",3
"Jul 19, 2017",3
"Jul 18, 2017",7
"Jul 17, 2017",2
"Jul 16, 2017",9
"Jul 15, 2017",7
"Jul 14, 2017",13
"Jul 13, 2017",4
"Jul 12, 2017",13
"Jul 11, 2017",8
"Jul 10, 2017",10
"Jul 9, 2017 ",11
"Jul 8, 2017 ",5
"Jul 7, 2017 ",7
"Jul 6, 2017 ",4
"Jul 5, 2017 ",4
"Jul 4, 2017 ",4
"Jul 3, 2017 ",12
"Jul 2, 2017 ",4
"Jul 1, 2017 ",12
"Jun 30, 2017",6
"Jun 29, 2017",13
"Jun 28, 2017",10
"Jun 27, 2017",11
"Jun 26, 2017",12
"Jun 25, 2017",2
"Jun 24, 2017",5
"Jun 23, 2017",5
"Jun 22, 2017",16
"Jun 21, 2017",3
"Jun 20, 2017",11
"Jun 19, 2017",14
"Jun 18, 2017",7
"Jun 17, 2017",1
"Jun 16, 2017",9
"Jun 15, 2017",6
"Jun 14, 2017",3
"Jun 13, 2017",11
"Jun 12, 2017",5
"Jun 11, 2017",8
"Jun 10, 2017",1
